NOMBRE_COMUNA_EGRESO;IPS;PROMEDIO_COMUNA_gral;PROMEDIO_COMUNA_NOTA
LAS CONDES;13.19;460.0;460.0
LO ESPEJO;87.0;752.5;752.5
LAS CONDES;13.19;772.5;772.5
ÑUÑOA;30.63;798.5;798.5
LAS CONDES;13.19;579.1;579.1
LA PINTANA;89.36;767.0;767.0
MARIA PINTO;83.02;383.5;383.5
VITACURA;3.32;830.5;830.5
CERRO NAVIA;85.74;575.37;575.37
LO BARNECHEA;24.97;586.64;586.64
LA REINA;32.42;758.5;758.5
LO ESPEJO;87.0;607.5;607.5
LA REINA;32.42;864.5;864.5
ÑUÑOA;30.63;573.39;573.39
PROVIDENCIA;20.18;570.27;570.27
ÑUÑOA;30.63;458.5;458.5
ÑUÑOA;30.63;573.65;573.65
LO ESPEJO;87.0;573.41;573.41
LO BARNECHEA;24.97;816.5;816.5
ÑUÑOA;30.63;881.5;881.5
LA PINTANA;89.36;626.06;626.06
VITACURA;3.32;622.5;622.5
LA REINA;32.42;598.04;598.04
CERRO NAVIA;85.74;464.0;464.0
ÑUÑOA;30.63;565.99;565.99
MARIA PINTO;83.02;514.5;514.5
ÑUÑOA;30.63;575.87;575.87
LO BARNECHEA;24.97;759.0;759.0
LA REINA;32.42;467.0;467.0
PROVIDENCIA;20.18;478.0;478.0
LO BARNECHEA;24.97;443.5;443.5
PROVIDENCIA;20.18;851.5;851.5
LO BARNECHEA;24.97;659.5;659.5
CERRO NAVIA;85.74;541.0;541.0
LAS CONDES;13.19;804.1245935154961;804.1245935154961
VITACURA;3.32;520.5;520.5
VITACURA;3.32;683.5;683.5
PROVIDENCIA;20.18;390.0;390.0
LA PINTANA;89.36;689.5;689.5
LA PINTANA;89.36;541.05;541.05
PROVIDENCIA;20.18;579.29;579.29
VITACURA;3.32;490.73;490.73
LO BARNECHEA;24.97;822.5;822.5
CERRO NAVIA;85.74;800.5;800.5
LO BARNECHEA;24.97;606.0;606.0
LA PINTANA;89.36;574.19;574.19
CERRO NAVIA;85.74;746.5;746.5
PROVIDENCIA;20.18;741.6602724621594;741.6602724621594
LO ESPEJO;87.0;389.0;389.0
ÑUÑOA;30.63;579.19;579.19
LAS CONDES;13.19;713.43;713.43
LAS CONDES;13.19;461.0;461.0
LA PINTANA;89.36;564.21;564.21
LO BARNECHEA;24.97;470.5;470.5
LA PINTANA;89.36;536.5;536.5
LO BARNECHEA;24.97;719.0;719.0
ÑUÑOA;30.63;436.5;436.5
LO BARNECHEA;24.97;589.12;589.12
MARIA PINTO;83.02;573.84;573.84
VITACURA;3.32;682.5;682.5
LAS CONDES;13.19;409.0;409.0
VITACURA;3.32;817.0;817.0
LO BARNECHEA;24.97;841.5;841.5
PROVIDENCIA;20.18;583.69;583.69
ÑUÑOA;30.63;572.67;572.67
LO BARNECHEA;24.97;708.0;708.0
LA PINTANA;89.36;583.96;583.96
LO ESPEJO;87.0;406.0;406.0
ÑUÑOA;30.63;578.49;578.49
ÑUÑOA;30.63;580.63;580.63
ÑUÑOA;30.63;762.5;762.5
ÑUÑOA;30.63;560.07;560.07
ÑUÑOA;30.63;679.5;679.5
ÑUÑOA;30.63;590.2;590.2
LA PINTANA;89.36;581.85;581.85
VITACURA;3.32;619.59;619.59
LO BARNECHEA;24.97;765.5;765.5
VITACURA;3.32;566.5;566.5
LA REINA;32.42;782.5;782.5
LO BARNECHEA;24.97;837.0;837.0
LO BARNECHEA;24.97;637.0;637.0
LAS CONDES;13.19;635.0;635.0
VITACURA;3.32;818.0143093482343;818.0143093482343
VITACURA;3.32;659.5;659.5
VITACURA;3.32;844.88;844.88
ÑUÑOA;30.63;827.5;827.5
LO BARNECHEA;24.97;717.0;717.0
LA REINA;32.42;669.9294198809507;669.9294198809507
LA REINA;32.42;861.0;861.0
LO BARNECHEA;24.97;796.5;796.5
LAS CONDES;13.19;596.5;596.5
LO BARNECHEA;24.97;681.0;681.0
ÑUÑOA;30.63;572.74;572.74
LA PINTANA;89.36;660.5;660.5
LAS CONDES;13.19;796.39;796.39
LO BARNECHEA;24.97;682.5;682.5
LA REINA;32.42;553.0;553.0
LA PINTANA;89.36;434.5;434.5
LA PINTANA;89.36;578.93;578.93
LA PINTANA;89.36;553.69;553.69
LA REINA;32.42;552.0;552.0
LO BARNECHEA;24.97;744.0;744.0
ÑUÑOA;30.63;416.5;416.5
CERRO NAVIA;85.74;708.0;708.0
VITACURA;3.32;792.5;792.5
PROVIDENCIA;20.18;629.94;629.94
LAS CONDES;13.19;817.0;817.0
LO BARNECHEA;24.97;427.0;427.0
LA PINTANA;89.36;580.61;580.61
VITACURA;3.32;842.85;842.85
LO BARNECHEA;24.97;578.42;578.42
LO BARNECHEA;24.97;658.5;658.5
ÑUÑOA;30.63;455.75;455.75
LA PINTANA;89.36;588.27;588.27
LA PINTANA;89.36;575.71;575.71
LAS CONDES;13.19;842.8;842.8
ÑUÑOA;30.63;641.5;641.5
VITACURA;3.32;893.28;893.28
MARIA PINTO;83.02;659.0;659.0
LA REINA;32.42;638.5;638.5
LA REINA;32.42;811.5985544926257;811.5985544926257
CERRO NAVIA;85.74;433.0;433.0
LA PINTANA;89.36;575.5;575.5
LAS CONDES;13.19;884.86;884.86
LO ESPEJO;87.0;856.0;856.0
LA REINA;32.42;447.0;447.0
ÑUÑOA;30.63;581.02;581.02
ÑUÑOA;30.63;582.9;582.9
LO ESPEJO;87.0;584.5;584.5
ÑUÑOA;30.63;517.87;517.87
ÑUÑOA;30.63;574.01;574.01
ÑUÑOA;30.63;546.76;546.76
LAS CONDES;13.19;572.05;572.05
PROVIDENCIA;20.18;585.13;585.13
LO ESPEJO;87.0;469.0;469.0
PROVIDENCIA;20.18;887.0;887.0
CERRO NAVIA;85.74;484.0;484.0
LA PINTANA;89.36;597.37;597.37
LA PINTANA;89.36;624.0;624.0
ÑUÑOA;30.63;547.79;547.79
CERRO NAVIA;85.74;567.4;567.4
LA REINA;32.42;698.5;698.5
VITACURA;3.32;663.5;663.5
LA PINTANA;89.36;409.5;409.5
LAS CONDES;13.19;565.05;565.05
ÑUÑOA;30.63;504.0;504.0
VITACURA;3.32;772.5;772.5
MARIA PINTO;83.02;505.5;505.5
PROVIDENCIA;20.18;427.0;427.0
LO BARNECHEA;24.97;471.5;471.5
LO ESPEJO;87.0;454.54;454.54
LAS CONDES;13.19;741.5;741.5
MARIA PINTO;83.02;570.3;570.3
PROVIDENCIA;20.18;436.0;436.0
ÑUÑOA;30.63;573.58;573.58
MARIA PINTO;83.02;534.5;534.5
LA PINTANA;89.36;873.5;873.5
VITACURA;3.32;878.5;878.5
LA PINTANA;89.36;653.0;653.0
LO BARNECHEA;24.97;726.5;726.5
LA REINA;32.42;412.5;412.5
ÑUÑOA;30.63;576.12;576.12
LA REINA;32.42;447.5;447.5
CERRO NAVIA;85.74;588.58;588.58
ÑUÑOA;30.63;800.5;800.5
VITACURA;3.32;646.5;646.5
CERRO NAVIA;85.74;582.39;582.39
PROVIDENCIA;20.18;512.5;512.5
PROVIDENCIA;20.18;639.0;639.0
LAS CONDES;13.19;446.5;446.5
ÑUÑOA;30.63;827.0;827.0
LA PINTANA;89.36;576.02;576.02
ÑUÑOA;30.63;594.12;594.12
LA PINTANA;89.36;526.98;526.98
PROVIDENCIA;20.18;688.36;688.36
LO ESPEJO;87.0;481.0;481.0
CERRO NAVIA;85.74;575.63;575.63
LO BARNECHEA;24.97;421.0;421.0
LA REINA;32.42;900.5;900.5
LA PINTANA;89.36;713.5;713.5
LO BARNECHEA;24.97;638.0;638.0
LA PINTANA;89.36;563.82;563.82
LA REINA;32.42;923.0;923.0
LAS CONDES;13.19;845.19;845.19
ÑUÑOA;30.63;566.31;566.31
ÑUÑOA;30.63;572.4;572.4
VITACURA;3.32;509.98;509.98
LO BARNECHEA;24.97;831.7679615920256;831.7679615920256
PROVIDENCIA;20.18;420.5;420.5
LA PINTANA;89.36;567.77;567.77
VITACURA;3.32;780.3141498795917;780.3141498795917
LA REINA;32.42;520.5;520.5
VITACURA;3.32;822.9871456457099;822.9871456457099
PROVIDENCIA;20.18;578.07;578.07
MARIA PINTO;83.02;589.0;589.0
LA REINA;32.42;582.23;582.23
ÑUÑOA;30.63;566.07;566.07
VITACURA;3.32;773.5;773.5
LA PINTANA;89.36;778.0;778.0
LA PINTANA;89.36;683.0;683.0
CERRO NAVIA;85.74;593.0;593.0
LA PINTANA;89.36;491.0;491.0
CERRO NAVIA;85.74;553.5;553.5
VITACURA;3.32;633.5;633.5
LA REINA;32.42;516.0;516.0
LA REINA;32.42;916.5;916.5
LA REINA;32.42;756.4500908807745;756.4500908807745
LA REINA;32.42;865.5;865.5
LA PINTANA;89.36;587.98;587.98
LO BARNECHEA;24.97;584.5;584.5
LO ESPEJO;87.0;676.5;676.5
MARIA PINTO;83.02;590.41;590.41
LO ESPEJO;87.0;692.5;692.5
LA PINTANA;89.36;603.0;603.0
CERRO NAVIA;85.74;589.6;589.6
LA PINTANA;89.36;904.0;904.0
ÑUÑOA;30.63;824.87906772013;824.87906772013
LO ESPEJO;87.0;562.5;562.5
LA PINTANA;89.36;579.26;579.26
CERRO NAVIA;85.74;466.0;466.0
VITACURA;3.32;685.5;685.5
