NOMBRE_COMUNA_EGRESO;NOMBRE_UNIDAD_EDUC;PROMEDIO_COLEGIO
LAS CONDES;ESCUELA DE PARVULOS N°1527 ALEXANDER MONTESSORI;631.02
SAN MIGUEL;LICEO TECNICO A-100 DE SAN MIGUEL;542.8069178082192
SAN BERNARDO;MASTER COLLEGE;615.6611904761905
SANTIAGO;INSTITUTO COMERCIAL ELIODORO DOMINGUEZ DOMINGUEZ;583.3402473498234
PUENTE ALTO;LICEO GENERAL PEDRO LAGOS;561.0
LA FLORIDA;COLEGIO PARTICULAR THE GARDEN SCHOOL;622.46
PROVIDENCIA;CENTRO EDUCACIONAL OMEGA;602.41
PUENTE ALTO;CENTRO TECNICO EDUCACIONAL SAN CAYETANO;560.187641509434
CONCHALI; ;605.5062594268477
SANTIAGO;LICEO DE ADULTOS PART.FERMIN VIVACETA;539.7108000000001
SANTIAGO;COLEGIO SAN FRANCISCO DE ASIS DE BELEN;640.5527419354838
PAINE;CENTRO EDUC. ENRIQUE BERNSTEIN CARABANTE;543.7426020408163
SANTIAGO; ;605.5062594268477
PROVIDENCIA;COLEGIO MARIANO;759.2751282051282
SAN BERNARDO;LICEO INDUSTRIAL HARDWARE;538.7040000000001
LO BARNECHEA;COLEGIO SANTIAGO COLLEGE;823.6740789473685
LA FLORIDA;COLEGIO PARTICULAR SAN FRANCISCO DE ASIS;616.3756190476191
PROVIDENCIA;LICEO B 42 TAJAMAR;617.7968722466961
SAN BERNARDO;COLEGIO POLIV. SAN BERNARDO ABAD;539.0534653465347
PUENTE ALTO;CENTRO EDUCACIONAL NUEVA CREACION;546.3544
SAN MIGUEL;COLEGIO DE ADULTOS PART. VASCO DE GAMA;558.8779999999999
ESTACION CENTRAL;LICEO COMERCIAL B-72;550.8282170542635
PROVIDENCIA;COLEGIO ARGENTINO DEL SAGRADO CORAZON;795.0
SANTIAGO;COLEGIO INSTITUTO ALONSO DE ERCILLA;763.0559071729958
MAIPU;COMPLEJO EDUCACIONAL ALBERTO WIDMER;599.5474264705882
TALAGANTE;ENGLISH COLLEGE;561.967880794702
LA CISTERNA;LICEO POLITECNICO CIENCIA Y TECNOLOGIA;569.3026618705037
PAINE;LICEO MUNICIPAL DE ADULTO MIGUEL CAMPINO LARRAIN;528.0348484848486
SANTIAGO;ESCUELA NACIONAL DE CAPACITACION ENAC;656.0
MACUL;LICEO VILLA MACUL ACADEMIA EX LICEO JUANA DE IBARBOUROU A 48;578.958
PROVIDENCIA;LICEO POLIVALENTE ARTURO ALESSANDRI P.;618.7102150537635
LAS CONDES;LICEO RAFAEL SOTOMAYOR;652.6921
LA CISTERNA;CENTRO EDUCACIONAL SANTA CLARA;619.0884615384615
VITACURA;COLEGIO LA MAISONNETTE;742.1103278688526
PEÑALOLEN;LICEO JUAN BAUTISTA PASTEN;575.1755555555555
INDEPENDENCIA;LICEO AVENIDA INDEPENDENCIA DIURNO;645.0
MACUL; ;605.5062594268477
ÑUÑOA;ESCUELA BENJAMIN CLARO VELASCO;734.5
SANTIAGO;LICEO PROFESIONAL ABDON CIFUENTES;587.6043414634146
LA CISTERNA;INSTITUTO COMERCIAL PARTICULAR LA CISTERNA;548.7610576923078
LA CISTERNA;LICEO MADRE CECILIA LAZZERI;670.5446043165467
LAS CONDES;COLEGIO REDLAND SCHOOL;790.6180555555555
MELIPILLA;COLEGIO POLIVALENTE SAN AGUSTIN;564.5128537735849
VITACURA;COLEGIO SANTA URSULA;762.2985087719298
LO BARNECHEA;COLEGIO LINCOLN INTERNATIONAL ACADEMY;842.3714634146343
INDEPENDENCIA;COLEGIO POLITECNICO AVDA INDEPENDENCIA;469.3333333333333
LA GRANJA;LICEO MALAQUIAS CONCHA;559.0359649122806
SANTIAGO;LICEO MANUEL BARROS BORGONO;631.4471351351351
TALAGANTE;LICEO COMERCIAL TALAGANTE;570.7138888888888
RECOLETA;COMPLEJO EDUCACIONAL JUANITA FERNANDEZ SOLAR;503.94717647058826
SAN MIGUEL;LICEO POLITECNICO SAN LUIS;537.3033714285714
RECOLETA; ;605.5062594268477
LA PINTANA;COLEGIO DE AD. INSTITUTO HUMBOLDT;571.9545454545455
MAIPU;LICEO JOSE IGNACIO ZENTENO;573.6985507246376
SAN BERNARDO;COLEGIO SAN JOSE;606.1662037037037
SANTIAGO;COLEGIO EXCELSIOR;620.8873966942149
PROVIDENCIA;COLEGIO INSTITUTO DE HUMANIDADES LUIS CAMPINO;708.8155813953489
LA CISTERNA;COLEGIO BICENTENARIO DE EXCELENCIA MIGUEL DE CERVANTES;538.4042045454545
LA FLORIDA;LICEO BICENTENARIO DE EXCELENCIA BENJAMIN VICUNA MACKENNA;566.4324817518249
SAN BERNARDO;COLEGIO AMERICAN ACADEMY;713.0688095238095
ÑUÑOA;CENTRO POLITECNICO PARTICULAR DE NUNOA;546.6812295081967
SAN RAMON;CENTRO EDUCACIONAL MUNICIPAL SAN RAMON;530.9868421052631
LAMPA;COLEGIO ADULTOS MANQUEHUE;529.9597183098591
